Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"PTCSC3","Papillary Thyroid Carcinoma Susceptibility Candidate 3","RNA Gene","","22","GC14M036513","61.9916381835938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCSC3"
"MIR21","MicroRNA 21","RNA Gene","","33","GC17P134223","61.8322639465332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"SFTA3","Surfactant Associated 3","RNA Gene","P0C7M3","43","GC14M036518","61.2980804443359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTA3"
"ESR1","Estrogen Receptor 1","Protein Coding","P03372","66","GC06P151656","61.0834197998047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"NEAT1","Nuclear Paraspeckle Assembly Transcript 1","RNA Gene","","33","GC11P098966","60.9488525390625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEAT1"
"PRKAR1A","Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha","Protein Coding","P10644","63","GC17P134455","60.6508598327637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR1A"
"MIR222","MicroRNA 222","RNA Gene","","29","GC0XM045747","60.5342102050781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR222"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","P37231","65","GC03P012287","60.450927734375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"MIR155","MicroRNA 155","RNA Gene","","30","GC21P025573","59.7258224487305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"SDHB","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Protein Coding","P21912","61","GC01M020330","59.6537628173828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","P22607","68","GC04P005899","58.8678169250488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"PTCSC2","Papillary Thyroid Carcinoma Susceptibility Candidate 2","RNA Gene","","22","GC09M097699","58.7896423339844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCSC2"
"SLC26A4","Solute Carrier Family 26 Member 4","Protein Coding","O43511","55","GC07P107660","58.4776420593262","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A4"
"MIR146A","MicroRNA 146a","RNA Gene","","31","GC05P160485","56.9364166259766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","P16410","61","GC02P204352","56.414478302002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"LINC-ROR","Long Intergenic Non-Protein Coding RNA, Regulator Of Reprogramming","RNA Gene","","25","GC18M057054","56.0735549926758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC-ROR"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","66","GC17M042313","55.9572372436523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","P38936","63","GC06P156447","55.3859252929688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"TSC2","TSC Complex Subunit 2","Protein Coding","P49815","64","GC16P104050","54.7528457641602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"TSC1","TSC Complex Subunit 1","Protein Coding","Q92574","61","GC09M132891","54.3406295776367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1"
"UCA1","Urothelial Cancer Associated 1","RNA Gene","","30","GC19P141717","54.1665344238281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCA1"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","65","GC08P127735","53.7492599487305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"HOTTIP","HOXA Distal Transcript Antisense RNA","RNA Gene","","30","GC07P027198","53.6939277648926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTTIP"
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","Q16236","63","GC02M177227","53.6246719360352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","P11362","68","GC08M038400","53.3204917907715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"SDHD","Succinate Dehydrogenase Complex Subunit D","Protein Coding","O14521","57","GC11P112740","53.2715950012207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHD"
"CDKN2B-AS1","CDKN2B Antisense RNA 1","RNA Gene","","32","GC09P021994","52.2929611206055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1"
"MIR15A","MicroRNA 15a","RNA Gene","","25","GC13M050049","52.0573883056641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR15A"
"NOTCH1","Notch Receptor 1","Protein Coding","P46531","65","GC09M138976","52.0356864929199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","P37173","65","GC03P030623","51.8775100708008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2"
"FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","P21802","68","GC10M121478","51.8452262878418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2"
"BANCR","BRAF-Activated Non-Protein Coding RNA","RNA Gene","","22","GC09M069296","51.8272743225098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BANCR"
"SDHC","Succinate Dehydrogenase Complex Subunit C","Protein Coding","Q99643","55","GC01P161314","51.8178901672363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHC"
"MUTYH","MutY DNA Glycosylase","Protein Coding","Q9UIF7","57","GC01M045329","51.7246246337891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUTYH"
"MIR17","MicroRNA 17","RNA Gene","","28","GC13P091350","51.4465026855469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"MIR181A1","MicroRNA 181a-1","RNA Gene","","27","GC01M198860","51.1158599853516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181A1"
"SMARCA4","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4","Protein Coding","P51532","64","GC19P132300","50.8063507080078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4"
"FH","Fumarate Hydratase","Protein Coding","P07954","59","GC01M241499","50.7493858337402","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FH"
"PTCSC1","Papillary Thyroid Carcinoma Susceptibility Candidate 1","RNA Gene","","20","GC08P133054","50.6045684814453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCSC1"
"POLE","DNA Polymerase Epsilon, Catalytic Subunit","Protein Coding","Q07864","60","GC12M132798","50.0707550048828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLE"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","P25445","64","GC10P116129","50.0205612182617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"EP300","E1A Binding Protein P300","Protein Coding","Q09472","65","GC22P081600","49.7794761657715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300"
"HNF1A","HNF1 Homeobox A","Protein Coding","P20823","59","GC12P120978","49.1995735168457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A"
"NTRK3","Neurotrophic Receptor Tyrosine Kinase 3","Protein Coding","Q16288","65","GC15M087859","48.944450378418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK3"
"BAP1","BRCA1 Associated Deubiquitinase 1","Protein Coding","Q92560","59","GC03M052401","48.4965438842773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAP1"
"CASP8","Caspase 8","Protein Coding","Q14790","65","GC02P201233","48.3563919067383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"NF1","Neurofibromin 1","Protein Coding","P21359","60","GC17P031094","48.2292976379395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"CALCA","Calcitonin Related Polypeptide Alpha","Protein Coding","P06881","56","GC11M014966","48.1885757446289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA"
"HABP2","Hyaluronan Binding Protein 2","Protein Coding","Q14520","57","GC10P113550","47.7794380187988","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HABP2"
"MSH3","MutS Homolog 3","Protein Coding","P20585","55","GC05P080654","47.5587387084961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH3"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","65","GC22M021759","47.3542098999023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"IYD","Iodotyrosine Deiodinase","Protein Coding","Q6PHW0","53","GC06P150368","47.2976837158203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IYD"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","P15692","61","GC06P043770","47.1264572143555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","P11802","66","GC12M059932","47.1200141906738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
"AXIN2","Axin 2","Protein Coding","Q9Y2T1","62","GC17M065528","46.7188720703125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXIN2"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","63","GC18M063123","46.5660171508789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"KRT7","Keratin 7","Protein Coding","P08729","55","GC12P052232","46.5225639343262","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT7"
"MAP2K1","Mitogen-Activated Protein Kinase Kinase 1","Protein Coding","Q02750","67","GC15P066386","46.508430480957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1"
"SRC","SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase","Protein Coding","P12931","63","GC20P037344","46.483715057373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC"
"CREBBP","CREB Binding Protein","Protein Coding","Q92793","67","GC16M027070","46.4779243469238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP"
"TUG1","Taurine Up-Regulated 1","Protein Coding","A0A6I8PU40","33","GC22P030969","46.2415313720703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUG1"
"MDM2","MDM2 Proto-Oncogene","Protein Coding","Q00987","66","GC12P068808","46.2101821899414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2"
"LOC126862571","BRD4-Independent Group 4 Enhancer GRCh37_chr17:41243136-41244335","Functional Element","","11","GC17P136044","46.1481323242188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862571"
"MIR193A","MicroRNA 193a","RNA Gene","","29","GC17P031559","46.0031814575195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR193A"
"MIR34C","MicroRNA 34c","RNA Gene","","30","GC11P112711","45.9770469665527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34C"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","Q16665","61","GC14P061695","45.9491882324219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"MIR7-3HG","MIR7-3 Host Gene","RNA Gene","Q8N6C7","34","GC19P132003","45.5872077941895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7-3HG"
"HNF1B","HNF1 Homeobox B","Protein Coding","P35680","55","GC17M037686","45.5280647277832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1B"
"KRT19","Keratin 19","Protein Coding","P08727","56","GC17M041523","45.4767150878906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT19"
"MIR18A","MicroRNA 18a","RNA Gene","","27","GC13P091719","45.4643211364746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR18A"
"MIR30A","MicroRNA 30a","RNA Gene","","28","GC06M071403","45.3630599975586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30A"
"NBN","Nibrin","Protein Coding","O60934","61","GC08M089933","45.2194671630859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBN"
"FASLG","Fas Ligand","Protein Coding","P48023","61","GC01P172659","45.1942367553711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG"
"DUOXA2","Dual Oxidase Maturation Factor 2","Protein Coding","Q1HG44","45","GC15P045114","45.1373634338379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUOXA2"
"FBXW7","F-Box And WD Repeat Domain Containing 7","Protein Coding","Q969H0","58","GC04M152321","45.1256713867188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXW7"
"ARID1A","AT-Rich Interaction Domain 1A","Protein Coding","O14497","58","GC01P026693","45.0738372802734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARID1A"
"MIR145","MicroRNA 145","RNA Gene","","32","GC05P149430","44.979679107666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR145"
"AR","Androgen Receptor","Protein Coding","P10275","65","GC0XP067544","44.8635406494141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"MIR138-1","MicroRNA 138-1","RNA Gene","","29","GC03P044115","44.7662582397461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR138-1"
"CASC2","Cancer Susceptibility 2","RNA Gene","Q8IU53","34","GC10P119457","44.6494331359863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC2"
"NCOA4","Nuclear Receptor Coactivator 4","Protein Coding","Q13772","50","GC10M046005","44.5848121643066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOA4"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","65","GC19M041301","44.5467071533203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"MIR19A","MicroRNA 19a","RNA Gene","","29","GC13P091713","44.0793685913086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR19A"
"SLC16A2","Solute Carrier Family 16 Member 2","Protein Coding","P36021","56","GC0XP074985","43.8744163513184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A2"
"MIR197","MicroRNA 197","RNA Gene","","28","GC01P109598","43.7754364013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR197"
"CRNDE","Colorectal Neoplasia Differentially Expressed","RNA Gene","","29","GC16M054979","43.7671012878418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRNDE"
"AFAP1-AS1","AFAP1 Antisense RNA 1","RNA Gene","","26","GC04P008385","43.4929504394531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFAP1-AS1"
"CCDC6","Coiled-Coil Domain Containing 6","Protein Coding","Q16204","50","GC10M059788","43.4579887390137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC6"
"XIST","X Inactive Specific Transcript","RNA Gene","","32","GC0XM073820","43.2810897827148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIST"
"SMO","Smoothened, Frizzled Class Receptor","Protein Coding","Q99835","64","GC07P138834","43.2561111450195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMO"
"ERBB3","Erb-B2 Receptor Tyrosine Kinase 3","Protein Coding","P21860","67","GC12P065362","43.2394790649414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB3"
"ESR2","Estrogen Receptor 2","Protein Coding","Q92731","61","GC14M064084","42.8596496582031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR2"
"WRN","WRN RecQ Like Helicase","Protein Coding","Q14191","60","GC08P031033","42.811408996582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRN"
"PDGFRA","Platelet Derived Growth Factor Receptor Alpha","Protein Coding","P16234","66","GC04P054229","42.6576805114746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA"
"POLD1","DNA Polymerase Delta 1, Catalytic Subunit","Protein Coding","P28340","59","GC19P133473","42.6370010375977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLD1"
"EGF","Epidermal Growth Factor","Protein Coding","P01133","64","GC04P109912","42.5305137634277","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
