Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"SLC5A5","Solute Carrier Family 5 Member 5","Protein Coding","Q92911","58","GC19P132609","85.3090133666992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC5A5"
"THRA","Thyroid Hormone Receptor Alpha","Protein Coding","P10827","61","GC17P040058","82.0328979492188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THRA"
"FOXE1","Forkhead Box E1","Protein Coding","O00358","52","GC09P097853","77.0188217163086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXE1"
"DUOX2","Dual Oxidase 2","Protein Coding","Q9NRD8","55","GC15M045092","76.4250030517578","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUOX2"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","O14746","64","GC05M001253","76.1430053710938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"APC","APC Regulator Of WNT Signaling Pathway","Protein Coding","P25054","62","GC05P112707","75.3092422485352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","68","GC07P055019","72.4128570556641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"TSHB","Thyroid Stimulating Hormone Subunit Beta","Protein Coding","P01222","54","GC01P115029","71.9025573730469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSHB"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","36","GC11M001995","71.3626098632813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"MEN1","Menin 1","Protein Coding","O00255","58","GC11M064803","69.9261245727539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P10721","66","GC04P054657","69.7200775146484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","Q8N726","63","GC09M021967","69.2556915283203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"DICER1","Dicer 1, Ribonuclease III","Protein Coding","Q9UPY3","61","GC14M095086","68.6546783447266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1"
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","P51587","60","GC13P032315","67.0228042602539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"NTRK1","Neurotrophic Receptor Tyrosine Kinase 1","Protein Coding","P04629","62","GC01P156815","66.2466430664063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK1"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","66","GC03P041194","66.0187377929688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"GNAS","GNAS Complex Locus","Protein Coding","P84996","62","GC20P058839","65.1203536987305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","66","GC11P108223","64.7860336303711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"PRKAR1A","Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha","Protein Coding","P10644","63","GC17P134455","64.6227035522461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR1A"
"MALAT1","Metastasis Associated Lung Adenocarcinoma Transcript 1","RNA Gene","","33","GC11P098972","62.5592575073242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1"
"EPCAM","Epithelial Cell Adhesion Molecule","Protein Coding","P16422","61","GC02P047345","61.9295349121094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPCAM"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","P38398","63","GC17M043044","61.7710571289063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"CDH1","Cadherin 1","Protein Coding","P12830","62","GC16P068737","60.6350898742676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","P16410","61","GC02P204352","60.3999633789063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"PVT1","Pvt1 Oncogene","RNA Gene","","34","GC08P128246","59.6893272399902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","P46527","61","GC12P047017","59.3035316467285","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","P04626","68","GC17P039687","58.892936706543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"SLC26A4","Solute Carrier Family 26 Member 4","Protein Coding","O43511","55","GC07P107660","56.8152809143066","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A4"
"MIR146B","MicroRNA 146b","RNA Gene","","30","GC10P102436","56.7575149536133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146B"
"CHEK2","Checkpoint Kinase 2","Protein Coding","O96017","67","GC22M028687","56.7280807495117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2"
"SFTA3","Surfactant Associated 3","RNA Gene","P0C7M3","43","GC14M036518","56.384204864502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTA3"
"VHL","Von Hippel-Lindau Tumor Suppressor","Protein Coding","P40337","60","GC03P024217","56.3308029174805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VHL"
"GAS5","Growth Arrest Specific 5","RNA Gene","","32","GC01M173947","55.8513107299805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5"
"HOTAIR","HOX Transcript Antisense RNA","RNA Gene","","31","GC12M053962","55.739875793457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIR"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","P08581","67","GC07P116672","55.0431518554688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"CCND1","Cyclin D1","Protein Coding","P24385","66","GC11P069641","54.8989791870117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"ALK","ALK Receptor Tyrosine Kinase","Protein Coding","Q9UM73","64","GC02M029190","54.8729095458984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALK"
"MEG3","Maternally Expressed 3","RNA Gene","","36","GC14P119042","53.8440818786621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3"
"MIR221","MicroRNA 221","RNA Gene","","30","GC0XM045746","53.331844329834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221"
"NF1","Neurofibromin 1","Protein Coding","P21359","60","GC17P031094","53.129207611084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"MIR222","MicroRNA 222","RNA Gene","","29","GC0XM045747","52.5440368652344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR222"
"LRRC56","Leucine Rich Repeat Containing 56","Protein Coding","Q8IYG6","47","GC11P014008","52.5252914428711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC56"
"NEAT1","Nuclear Paraspeckle Assembly Transcript 1","RNA Gene","","33","GC11P098966","51.7203750610352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEAT1"
"SDHB","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Protein Coding","P21912","61","GC01M020330","51.4866409301758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","P37231","65","GC03P012287","51.0686416625977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","66","GC17M042313","50.9252319335938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"ESR1","Estrogen Receptor 1","Protein Coding","P03372","66","GC06P151656","50.8857116699219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"MIR155","MicroRNA 155","RNA Gene","","30","GC21P025573","50.8182601928711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"SMAD4","SMAD Family Member 4","Protein Coding","Q13485","66","GC18P051028","50.2947845458984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"SDHD","Succinate Dehydrogenase Complex Subunit D","Protein Coding","O14521","57","GC11P112740","50.1374206542969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHD"
"STK11","Serine/Threonine Kinase 11","Protein Coding","Q15831","63","GC19P001177","49.7026634216309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","P11362","68","GC08M038400","49.6714057922363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","63","GC18M063123","49.0695114135742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"MIR146A","MicroRNA 146a","RNA Gene","","31","GC05P160485","48.7679214477539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"PTCH1","Patched 1","Protein Coding","Q13635","63","GC09M095442","48.6763114929199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCH1"
"PTCSC3","Papillary Thyroid Carcinoma Susceptibility Candidate 3","RNA Gene","","22","GC14M036513","48.2440376281738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCSC3"
"PDGFRA","Platelet Derived Growth Factor Receptor Alpha","Protein Coding","P16234","66","GC04P054229","47.8951034545898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA"
"MIR21","MicroRNA 21","RNA Gene","","33","GC17P134223","47.1939849853516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","65","GC08P127735","47.0635604858398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"IYD","Iodotyrosine Deiodinase","Protein Coding","Q6PHW0","53","GC06P150368","46.2735710144043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IYD"
"MUTYH","MutY DNA Glycosylase","Protein Coding","Q9UIF7","57","GC01M045329","45.6429824829102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUTYH"
"SDHC","Succinate Dehydrogenase Complex Subunit C","Protein Coding","Q99643","55","GC01P161314","45.5522003173828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHC"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","P38936","63","GC06P156447","45.4638595581055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"MIR17","MicroRNA 17","RNA Gene","","28","GC13P091350","45.4501647949219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"MIR181A1","MicroRNA 181a-1","RNA Gene","","27","GC01M198860","45.4391746520996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181A1"
"WRN","WRN RecQ Like Helicase","Protein Coding","Q14191","60","GC08P031033","45.3501358032227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WRN"
"LINC-ROR","Long Intergenic Non-Protein Coding RNA, Regulator Of Reprogramming","RNA Gene","","25","GC18M057054","45.2516784667969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC-ROR"
"MDM2","MDM2 Proto-Oncogene","Protein Coding","Q00987","66","GC12P068808","45.1686935424805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2"
"DUOXA2","Dual Oxidase Maturation Factor 2","Protein Coding","Q1HG44","45","GC15P045114","44.9550514221191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUOXA2"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","P06400","61","GC13P048303","44.3483848571777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"BANCR","BRAF-Activated Non-Protein Coding RNA","RNA Gene","","22","GC09M069296","44.0703201293945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BANCR"
"TSC2","TSC Complex Subunit 2","Protein Coding","P49815","64","GC16P104050","43.5921974182129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"MIR15A","MicroRNA 15a","RNA Gene","","25","GC13M050049","43.5336761474609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR15A"
"SLC16A2","Solute Carrier Family 16 Member 2","Protein Coding","P36021","56","GC0XP074985","43.4306640625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A2"
"PTCSC2","Papillary Thyroid Carcinoma Susceptibility Candidate 2","RNA Gene","","22","GC09M097699","43.1250305175781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCSC2"
"JAK2","Janus Kinase 2","Protein Coding","O60674","66","GC09P004985","42.8723754882813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","42.8097076416016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"HULC","Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA","RNA Gene","","29","GC06P008703","42.5837860107422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HULC"
"CALCA","Calcitonin Related Polypeptide Alpha","Protein Coding","P06881","56","GC11M014966","42.408073425293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA"
"PALB2","Partner And Localizer Of BRCA2","Protein Coding","Q86YC2","56","GC16M023603","42.4015274047852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALB2"
"CDC73","Cell Division Cycle 73","Protein Coding","Q6P1J9","58","GC01P193121","42.3000831604004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC73"
"CDKN2B-AS1","CDKN2B Antisense RNA 1","RNA Gene","","32","GC09P021994","42.2058868408203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","P11802","66","GC12M059932","42.1521377563477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
"HABP2","Hyaluronan Binding Protein 2","Protein Coding","Q14520","57","GC10P113550","42.0158309936523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HABP2"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","P25445","64","GC10P116129","41.7417068481445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"UCA1","Urothelial Cancer Associated 1","RNA Gene","","30","GC19P141717","41.5804557800293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCA1"
"PAX8-AS1","PAX8 Antisense RNA 1","RNA Gene","","26","GC02P148591","41.0223922729492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX8-AS1"
"NTRK3","Neurotrophic Receptor Tyrosine Kinase 3","Protein Coding","Q16288","65","GC15M087859","40.9446105957031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK3"
"AR","Androgen Receptor","Protein Coding","P10275","65","GC0XP067544","40.5609397888184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"TSC1","TSC Complex Subunit 1","Protein Coding","Q92574","61","GC09M132891","40.5605049133301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1"
"SRC","SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase","Protein Coding","P12931","63","GC20P037344","40.5004730224609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC"
"HOTTIP","HOXA Distal Transcript Antisense RNA","RNA Gene","","30","GC07P027198","40.4189147949219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTTIP"
"DDX41","DEAD-Box Helicase 41","Protein Coding","Q9UJV9","55","GC05M177511","40.3934783935547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX41"
"NOTCH1","Notch Receptor 1","Protein Coding","P46531","65","GC09M138976","40.2600784301758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1"
"NBN","Nibrin","Protein Coding","O60934","61","GC08M089933","40.1658706665039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBN"
"SDHA","Succinate Dehydrogenase Complex Flavoprotein Subunit A","Protein Coding","P31040","61","GC05P000235","39.6995010375977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA"
"MAP2K1","Mitogen-Activated Protein Kinase Kinase 1","Protein Coding","Q02750","67","GC15P066386","38.9788398742676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K1"
"FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","P21802","68","GC10M121478","38.9626274108887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2"
"ETV6","ETS Variant Transcription Factor 6","Protein Coding","P41212","59","GC12P011649","38.8698120117188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETV6"
"SMARCB1","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily B, Member 1","Protein Coding","Q12824","59","GC22P023786","38.6768074035645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCB1"
"IDH1","Isocitrate Dehydrogenase (NADP(+)) 1","Protein Coding","O75874","65","GC02M208236","38.5007095336914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH1"
"BAP1","BRCA1 Associated Deubiquitinase 1","Protein Coding","Q92560","59","GC03M052401","38.1134338378906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAP1"
"SMARCA4","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4","Protein Coding","P51532","64","GC19P132300","38.0985069274902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4"
"IL6","Interleukin 6","Protein Coding","P05231","63","GC07P022725","38.0450439453125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"BARD1","BRCA1 Associated RING Domain 1","Protein Coding","Q99728","59","GC02M214725","37.609691619873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BARD1"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","P22607","68","GC04P005899","37.3951301574707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","P15692","61","GC06P043770","37.3645820617676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"DIO1","Iodothyronine Deiodinase 1","Protein Coding","P49895","52","GC01P053891","37.3029594421387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIO1"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","P37173","65","GC03P030623","37.2650985717773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2"
"FH","Fumarate Hydratase","Protein Coding","P07954","59","GC01M241499","37.12353515625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FH"
"KRT7","Keratin 7","Protein Coding","P08729","55","GC12P052232","37.0110054016113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT7"
"NF2","NF2, Moesin-Ezrin-Radixin Like (MERLIN) Tumor Suppressor","Protein Coding","P35240","62","GC22P029603","37.0084991455078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF2"
"MIR34C","MicroRNA 34c","RNA Gene","","30","GC11P112711","36.8539390563965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34C"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","P05019","61","GC12M102395","36.8044891357422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"BMPR1A","Bone Morphogenetic Protein Receptor Type 1A","Protein Coding","P36894","64","GC10P116052","36.7972450256348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1A"
"KRT19","Keratin 19","Protein Coding","P08727","56","GC17M041523","36.7257690429688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT19"
"CASC2","Cancer Susceptibility 2","RNA Gene","Q8IU53","34","GC10P119457","36.717903137207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC2"
"MIR30A","MicroRNA 30a","RNA Gene","","28","GC06M071403","36.6076469421387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30A"
"MUC1","Mucin 1, Cell Surface Associated","Protein Coding","P15941","61","GC01M155185","36.4564323425293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1"
"STAT1","Signal Transducer And Activator Of Transcription 1","Protein Coding","P42224","66","GC02M190908","36.3150100708008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1"
"MIR19A","MicroRNA 19a","RNA Gene","","29","GC13P091713","36.2888488769531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR19A"
"CDKN2B","Cyclin Dependent Kinase Inhibitor 2B","Protein Coding","P42772","58","GC09M022002","36.2656593322754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B"
"WT1","WT1 Transcription Factor","Protein Coding","P19544","61","GC11M032365","36.1866149902344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WT1"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","65","GC19M041301","36.1054763793945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"FLCN","Folliculin","Protein Coding","Q8NFG4","54","GC17M017212","36.0941848754883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLCN"
"POLE","DNA Polymerase Epsilon, Catalytic Subunit","Protein Coding","Q07864","60","GC12M132798","36.0897064208984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLE"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","Q16665","61","GC14P061695","36.0840682983398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"EZH2","Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit","Protein Coding","Q15910","66","GC07M148807","36.0486259460449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2"
"SECISBP2","SECIS Binding Protein 2","Protein Coding","Q96T21","53","GC09P089318","36.041618347168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SECISBP2"
"MIR18A","MicroRNA 18a","RNA Gene","","27","GC13P091719","35.8943328857422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR18A"
"MIR125A","MicroRNA 125a","RNA Gene","","30","GC19P133539","35.889232635498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A"
"NKX2-5","NK2 Homeobox 5","Protein Coding","P52952","57","GC05M173232","35.6268081665039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-5"
"CRNDE","Colorectal Neoplasia Differentially Expressed","RNA Gene","","29","GC16M054979","35.4612045288086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRNDE"
"ESR2","Estrogen Receptor 2","Protein Coding","Q92731","61","GC14M064084","35.4595909118652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR2"
"CASP8","Caspase 8","Protein Coding","Q14790","65","GC02P201233","35.3790435791016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","65","GC22M021759","35.3278465270996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"CXCR4","C-X-C Motif Chemokine Receptor 4","Protein Coding","P61073","65","GC02M136114","35.3108901977539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4"
"RAF1","Raf-1 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P04049","67","GC03M012583","35.2623596191406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAF1"
"PDGFRB","Platelet Derived Growth Factor Receptor Beta","Protein Coding","P09619","66","GC05M150113","35.2124366760254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRB"
"HAGLR","HOXD Antisense Growth-Associated Long Non-Coding RNA","RNA Gene","","26","GC02M176172","35.0726165771484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAGLR"
"MIR181A2","MicroRNA 181a-2","RNA Gene","","29","GC09P124692","34.9675827026367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181A2"
"FASLG","Fas Ligand","Protein Coding","P48023","61","GC01P172659","34.9274673461914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG"
"IFNG","Interferon Gamma","Protein Coding","P01579","63","GC12M068154","34.7285232543945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
