drugbank_id,name,target_name,polypeptide_id,gene_name
DB00116,Tetrahydrofolic acid,"C-1-tetrahydrofolate synthase, cytoplasmic|Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial|Aminomethyltransferase, mitochondrial|Cytosolic 10-formyltetrahydrofolate dehydrogenase|Methionine synthase|Formimidoyltransferase-cyclodeaminase|Bifunctional purine biosynthesis protein PURH|Serine hydroxymethyltransferase, cytosolic|Serine hydroxymethyltransferase, mitochondrial|Methylenetetrahydrofolate reductase|Serine hydroxymethyltransferase|Methionyl-tRNA formyltransferase, mitochondrial|",P11586|P13995|P48728|O75891|Q99707|O95954|P31939|P34896|P34897|P42898|Q96DP5|,MTHFD1|MTHFD2|AMT|ALDH1L1|MTR|FTCD|ATIC|SHMT1|SHMT2|MTHFR|MTFMT|
DB00117,Histidine,"Histidine decarboxylase|Histidine--tRNA ligase, cytoplasmic|Sodium-coupled neutral amino acid transporter 3|Histidine ammonia-lyase|",P19113|P12081|Q99624|P42357|,HDC|HARS|SLC38A3|HAL|
DB00118,Ademetionine,Glycine N-methyltransferase|S-adenosylmethionine decarboxylase proenzyme|S-adenosylmethionine synthase isoform type-2|Cystathionine beta-synthase|S-adenosylmethionine synthase isoform type-1|Catechol O-methyltransferase|Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1|Arsenite methyltransferase|,Q14749|P17707|P31153|P35520|Q00266|P21964|Q8N1G2|Q9HBK9|,GNMT|AMD1|MAT2A|CBS|MAT1A|COMT|CMTR1|AS3MT|
DB00119,Pyruvic acid,"Monocarboxylate transporter 4|Monocarboxylate transporter 8|Alanine--glyoxylate aminotransferase 2, mitochondrial|Monocarboxylate transporter 6|Pyruvate kinase PKLR|Monocarboxylate transporter 7|Monocarboxylate transporter 2|Pyruvate dehydrogenase E1 component subunit beta, mitochondrial|Pyruvate kinase PKM|4-aminobutyrate aminotransferase, mitochondrial|Monocarboxylate transporter 5|Monocarboxylate transporter 3|Monocarboxylate transporter 1|Pyruvate carboxylase, mitochondrial|",O15427|P36021|Q9BYV1|O15375|P30613|O15403|O60669|P11177|P14618|P80404|O15374|O95907|P53985|P11498|,SLC16A3|SLC16A2|AGXT2|SLC16A5|PKLR|SLC16A6|SLC16A7|PDHB|PKM|ABAT|SLC16A4|SLC16A8|SLC16A1|PC|
DB00120,Phenylalanine,"Tyrosine aminotransferase|Large neutral amino acids transporter small subunit 2|Phenylalanine--tRNA ligase alpha subunit|Phenylalanine-4-hydroxylase|Phenylalanine--tRNA ligase, mitochondrial|Phenylalanine--tRNA ligase beta subunit|Tyrosine 3-monooxygenase|",P17735|Q9UHI5|Q9Y285|P00439|O95363|Q9NSD9|P07101|,TAT|SLC7A8|FARSA|PAH|FARS2|FARSB|TH|
DB00121,Biotin,"Propionyl-CoA carboxylase beta chain, mitochondrial|Biotin--protein ligase|Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial|Acetyl-CoA carboxylase 2|Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial|Pyruvate carboxylase, mitochondrial|Propionyl-CoA carboxylase alpha chain, mitochondrial|Acetyl-CoA carboxylase 1|",P05166|P50747|Q9HCC0|O00763|Q96RQ3|P11498|P05165|Q13085|,PCCB|HLCS|MCCC2|ACACB|MCCC1|PC|PCCA|ACACA|
DB00122,Choline,Choline-phosphate cytidylyltransferase B|Acetylcholinesterase|Choline-phosphate cytidylyltransferase A|Phospholipase D2|Cholinesterase|Phospholipase D1|Phosphoethanolamine/phosphocholine phosphatase|Neuronal acetylcholine receptor subunit alpha-7|,Q9Y5K3|P22303|P49585|O14939|P06276|Q13393|Q8TCT1|P36544|,PCYT1B|ACHE|PCYT1A|PLD2|BCHE|PLD1|PHOSPHO1|CHRNA7|
DB00123,L-Lysine,High affinity cationic amino acid transporter 1|Cationic amino acid transporter 4|Cationic amino acid transporter 3|Low affinity cationic amino acid transporter 2|Lysine--tRNA ligase|,P30825|O43246|Q8WY07|P52569|Q15046|,SLC7A1|SLC7A4|SLC7A3|SLC7A2|KARS|
DB00125,Arginine,"Nitric oxide synthase, endothelial|Cationic amino acid transporter 3|Arginine decarboxylase|Argininosuccinate lyase|Nitric oxide synthase, inducible|High affinity cationic amino acid transporter 1|Arginase-2, mitochondrial|Cationic amino acid transporter 4|Argininosuccinate synthase|",P29474|Q8WY07|Q96A70|P04424|P35228|P30825|P78540|O43246|P00966|,NOS3|SLC7A3|AZIN2|ASL|NOS2|SLC7A1|ARG2|SLC7A4|ASS1|
DB00126,Ascorbic acid,"DNA|Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2|Phytanoyl-CoA dioxygenase, peroxisomal|Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3|Gamma-butyrobetaine dioxygenase|Dopamine beta-hydroxylase|Peptidyl-glycine alpha-amidating monooxygenase|Prolyl 3-hydroxylase 1|Prolyl 3-hydroxylase 2|Prolyl 3-hydroxylase 3|Prolyl 4-hydroxylase subunit alpha-1|2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1|2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2|Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2|Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3|Lysine-specific demethylase 5D|Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1|Trimethyllysine dioxygenase, mitochondrial|Transmembrane prolyl 4-hydroxylase|Egl nine homolog 1|Egl nine homolog 2|Egl nine homolog 3|",O00469|O14832|O60568|O75936|P09172|P19021|Q32P28|Q8IVL5|Q8IVL6|P13674|Q8N543|Q6N063|Q6NS38|Q96Q83|Q9BY66|Q02809|Q9NVH6|Q9NXG6|Q9GZT9|Q96KS0|Q9H6Z9|,PLOD2|PHYH|PLOD3|BBOX1|DBH|PAM|P3H1|P3H2|P3H3|P4HA1|OGFOD1|OGFOD2|ALKBH2|ALKBH3|KDM5D|PLOD1|TMLHE|P4HTM|EGLN1|EGLN2|EGLN3|
DB00127,Spermine,Spermine synthase|Spermine oxidase|DNA|Ornithine decarboxylase|Extracellular calcium-sensing receptor|Beta-1 adrenergic receptor|Beta-2 adrenergic receptor|,P52788|Q9NWM0|P11926|P41180|P08588|P07550|,SMS|SMOX|ODC1|CASR|ADRB1|ADRB2|
DB00128,Aspartic acid,"Ribonuclease pancreatic|Lysozyme C|Calcium-binding mitochondrial carrier protein Aralar2|Aspartate aminotransferase, cytoplasmic|Aspartoacylase|Asparagine synthetase [glutamine-hydrolyzing]|Argininosuccinate synthase|Aminoacylase-1|Aspartate aminotransferase, mitochondrial|Aspartate--tRNA ligase, cytoplasmic|Calcium-binding mitochondrial carrier protein Aralar1|Aspartyl/asparaginyl beta-hydroxylase|Multifunctional protein ADE2|Adenylosuccinate synthetase isozyme 2|Excitatory amino acid transporter 3|Argininosuccinate synthetase, isoform CRA_a|Aspartate--tRNA ligase, mitochondrial|Isoaspartyl peptidase/L-asparaginase|Adenylosuccinate Synthetases|",P07998|P61626|Q9UJS0|P17174|P45381|P08243|P00966|Q03154|P00505|P14868|O75746|Q12797|P22234|P30520|P43005|Q6PI48|Q7L266|Q8N142|P30520|,RNASE1|LYZ|SLC25A13|GOT1|ASPA|ASNS|ASS1|ACY1|GOT2|DARS|SLC25A12|ASPH|PAICS|ADSS|SLC1A1|DARS2|ASRGL1|ADSSL1|ADSS|
DB00129,Ornithine,"Ornithine aminotransferase, mitochondrial|Ornithine carbamoyltransferase, mitochondrial|Arginase-1|Ornithine decarboxylase antizyme 1|High affinity cationic amino acid transporter 1|Low affinity cationic amino acid transporter 2|Mitochondrial ornithine transporter 2|Arginase-2, mitochondrial|Mitochondrial ornithine transporter 1|Glycine amidinotransferase, mitochondrial|",P04181|P00480|P05089|P54368|P30825|P52569|Q9BXI2|P78540|Q9Y619|P50440|,OAT|OTC|ARG1|OAZ1|SLC7A1|SLC7A2|SLC25A2|ARG2|SLC25A15|GATM|
DB00130,L-Glutamine,CTP synthase 1|Amidophosphoribosyltransferase|Glutamine synthetase|,P17812|Q06203|P15104|,CTPS1|PPAT|GLUL|
DB00131,Adenosine phosphate,"Cyclic AMP-responsive element-binding protein 1|DNA|cAMP-specific 3',5'-cyclic phosphodiesterase 4B|Glycogen phosphorylase, liver form|5'-AMP-activated protein kinase subunit beta-1|Histidine triad nucleotide-binding protein 1|cAMP-specific 3',5'-cyclic phosphodiesterase 4D|Acetyl-coenzyme A synthetase, cytoplasmic|5'-AMP-activated protein kinase catalytic subunit alpha-1|Adenylate cyclase type 1|Long-chain-fatty-acid--CoA ligase 1|Fructose-1,6-bisphosphatase 1|Adenosine kinase|5'-AMP-activated protein kinase|",P16220|Q07343|Q9Y478|P49773|Q08499|Q9NR19|Q13131|Q08828|P33121|P09467|P55263|Q13131|P54646|Q9Y478|O43741|P54619|Q9UGJ0|Q9UGI9|,CREB1|PDE4B|PRKAB1|HINT1|PDE4D|ACSS2|PRKAA1|ADCY1|ACSL1|FBP1|ADK|PRKAA1|PRKAA2|PRKAB1|PRKAB2|PRKAG1|PRKAG2|PRKAG3|
DB00132,alpha-Linolenic acid,Fatty acid desaturase 1|Fatty acid desaturase 2|Sodium/calcium exchanger 1|Transient receptor potential cation channel subfamily V member 1|Peroxisome proliferator-activated receptor alpha|Bile acid receptor|Peroxisome proliferator-activated receptor delta|Peroxisome proliferator-activated receptor gamma|Retinoic acid receptor RXR-alpha|Elongation of very long chain fatty acids protein 2|Elongation of very long chain fatty acids protein 5|,O60427|O95864|P32418|Q8NER1|Q07869|Q96RI1|Q03181|P37231|P19793|Q9NXB9|Q9NYP7|,FADS1|FADS2|SLC8A1|TRPV1|PPARA|NR1H4|PPARD|PPARG|RXRA|ELOVL2|ELOVL5|
DB00133,Serine,"Cystathionine beta-synthase|L-serine dehydratase/L-threonine deaminase|Serine racemase|Serine palmitoyltransferase 2|Serine palmitoyltransferase 1|Serine--tRNA ligase, cytoplasmic|Serine--pyruvate aminotransferase|",P35520|P20132|Q9GZT4|O15270|O15269|P49591|P21549|,CBS|SDS|SRR|SPTLC2|SPTLC1|SARS|AGXT|
DB00134,Methionine,Methionine synthase reductase|Methionine synthase|Methionine aminopeptidase 2|Betaine--homocysteine S-methyltransferase 1|S-methylmethionine--homocysteine S-methyltransferase BHMT2|,Q9UBK8|Q99707|P50579|Q93088|Q9H2M3|,MTRR|MTR|METAP2|BHMT|BHMT2|
DB00135,Tyrosine,"Tyrosine 3-monooxygenase|Tyrosine--tRNA ligase, mitochondrial|Tyrosine--tRNA ligase, cytoplasmic|Tyrosine aminotransferase|",P07101|Q9Y2Z4|P54577|P17735|,TH|YARS2|YARS|TAT|
DB00136,Calcitriol,Vitamin D3 receptor|Homeobox protein Hox-A10|,P11473|P31260|,VDR|HOXA10|
DB00137,Lutein,,,
DB00138,Cystine,Cystine/glutamate transporter|Cystinosin|,Q9UPY5|O60931|,SLC7A11|CTNS|
DB00139,Succinic acid,"Succinate receptor 1|Succinate-semialdehyde dehydrogenase, mitochondrial|",Q9BXA5|P51649|,SUCNR1|ALDH5A1|
DB00140,Riboflavin,Riboflavin kinase|Flavin reductase (NADPH)|,Q969G6|P30043|,RFK|BLVRB|
DB00141,N-Acetylglucosamine,"Beta-1,4-galactosyltransferase 1|Beta-1,4-galactosyltransferase 4|N-acetyl-D-glucosamine kinase|N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase|Alpha-N-acetylglucosaminidase|N-acylglucosamine 2-epimerase|",P15291|O60513|Q9UJ70|Q9UK23|P54802|P51606|,B4GALT1|B4GALT4|NAGK|NAGPA|NAGLU|RENBP|
DB00142,Glutamic acid,"Metabotropic glutamate receptor 1|Metabotropic glutamate receptor 4|Glutamate receptor ionotropic, kainate 4|Glutamate receptor ionotropic, kainate 5|Metabotropic glutamate receptor 7|Metabotropic glutamate receptor 8|Excitatory amino acid transporter 5|5-oxoprolinase|Phosphoribosylformylglycinamidine synthase|Branched-chain-amino-acid aminotransferase, mitochondrial|Glutamate receptor ionotropic, NMDA 2D|Glutaminase kidney isoform, mitochondrial|Aspartate aminotransferase, mitochondrial|Bifunctional glutamate/proline--tRNA ligase|Asparagine synthetase [glutamine-hydrolyzing]|Glutamine synthetase|Aspartate aminotransferase, cytoplasmic|Tyrosine aminotransferase|Alanine aminotransferase 1|Vitamin K-dependent gamma-carboxylase|Excitatory amino acid transporter 1|Excitatory amino acid transporter 2|Excitatory amino acid transporter 3|Glutamate--cysteine ligase catalytic subunit|Excitatory amino acid transporter 4|Glutamate dehydrogenase 2, mitochondrial|GMP synthase [glutamine-hydrolyzing]|Branched-chain-amino-acid aminotransferase, cytosolic|4-aminobutyrate aminotransferase, mitochondrial|Glutamate receptor ionotropic, NMDA 1|Folylpolyglutamate synthase, mitochondrial|Glutamyl aminopeptidase|Glutamate receptor ionotropic, NMDA 2A|Glutamate receptor ionotropic, NMDA 2B|Glutamate receptor ionotropic, NMDA 2C|Aspartate aminotransferase|Probable glutamate--tRNA ligase, mitochondrial|Glutamine-dependent NAD(+) synthetase|N-acetylglutamate synthase, mitochondrial|Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial|Glutamate receptor ionotropic, NMDA 3A|Alanine aminotransferase 2|Alpha-aminoadipic semialdehyde synthase, mitochondrial|Glutaminase liver isoform, mitochondrial|Aspartyl aminopeptidase|Cystine/glutamate transporter|Carboxypeptidase Q|Phosphoserine aminotransferase|Glutamate dehydrogenase 1, mitochondrial|Glutamate receptor ionotropic, kainate 1|Glutamate receptor 1|Glutamate--cysteine ligase regulatory subunit|Glutamate carboxypeptidase 2|Glutamate decarboxylase 2|Glutamate decarboxylase 1|Formimidoyltransferase-cyclodeaminase|Glutamate receptor 2|Glutamate receptor 3|Glutamate receptor 4|Delta-1-pyrroline-5-carboxylate synthase|Glutamate receptor ionotropic, kainate 2|Glutamate receptor ionotropic, kainate 3|",Q13255|Q14833|Q16099|Q16478|Q14831|O00222|O00341|O14841|O15067|O15382|O15399|O94925|P00505|P07814|P08243|P15104|P17174|P17735|P24298|P38435|P43003|P43004|P43005|P48506|P48664|P49448|P49915|P54687|P80404|Q05586|Q05932|Q07075|Q12879|Q13224|Q14957|Q5JPH6|Q6IA69|Q8N159|Q8N5Z0|Q8TCU5|Q8TD30|Q9UDR5|Q9UI32|Q9ULA0|Q9UPY5|Q9Y646|Q9Y617|P00367|P39086|P42261|P48507|Q04609|Q05329|Q99259|O95954|P42262|P42263|P48058|P54886|Q13002|Q13003|,GRM1|GRM4|GRIK4|GRIK5|GRM7|GRM8|SLC1A7|OPLAH|PFAS|BCAT2|GRIN2D|GLS|GOT2|EPRS|ASNS|GLUL|GOT1|TAT|GPT|GGCX|SLC1A3|SLC1A2|SLC1A1|GCLC|SLC1A6|GLUD2|GMPS|BCAT1|ABAT|GRIN1|FPGS|ENPEP|GRIN2A|GRIN2B|GRIN2C|EARS2|NADSYN1|NAGS|AADAT|GRIN3A|GPT2|AASS|GLS2|DNPEP|SLC7A11|CPQ|PSAT1|GLUD1|GRIK1|GRIA1|GCLM|FOLH1|GAD2|GAD1|FTCD|GRIA2|GRIA3|GRIA4|ALDH18A1|GRIK2|GRIK3|
DB00143,Glutathione,"Microsomal glutathione S-transferase 3|Hematopoietic prostaglandin D synthase|Glutathione S-transferase A1|Glutathione S-transferase A2|Microsomal glutathione S-transferase 1|S-formylglutathione hydrolase|Gamma-glutamyltranspeptidase 1|Glutathione S-transferase Mu 2|Glutaredoxin-1|Phospholipid hydroperoxide glutathione peroxidase, mitochondrial|Glutathione S-transferase Mu 5|Glutathione peroxidase 6|Hydroxyacylglutathione hydrolase, mitochondrial|Glutathione peroxidase|Glutathione peroxidase 7|Microsomal glutathione S-transferase 2|Glutathione S-transferase omega-2|Glutaredoxin-2, mitochondrial|Lactoylglutathione lyase|Leukotriene C4 synthase|Glutathione reductase, mitochondrial|Glutathione synthetase|Glutathione S-transferase Mu 1|Glutathione S-transferase kappa 1|Glutathione S-transferase A3|Glutathione S-transferase Mu 3|Glutathione S-transferase A4|Glutathione S-transferase Mu 4|Glutathione S-transferase A5|Glutathione S-transferase P|Glutathione S-transferase omega-1|Glutathione peroxidase 1|Glutathione peroxidase 2|Glutathione S-transferase theta-1|Maleylacetoacetate isomerase|Epididymal secretory glutathione peroxidase|Glutathione peroxidase 3|Aldose reductase|Matrix metalloproteinase-9|Cytochrome P450 3A4|",O14880|O60760|P08263|P09210|P10620|P10768|P19440|P28161|P35754|P36969|P46439|P59796|Q16775|Q96SL4|Q99735|Q9H4Y5|Q9NS18|Q04760|Q16873|P00390|P48637|P09488|Q9Y2Q3|Q16772|P21266|O15217|Q03013|Q7RTV2|P09211|P78417|P07203|P18283|P30711|O43708|O75715|P22352|P15121|P14780|P08684|,MGST3|HPGDS|GSTA1|GSTA2|MGST1|ESD|GGT1|GSTM2|GLRX|GPX4|GSTM5|GPX6|HAGH|GPX7|MGST2|GSTO2|GLRX2|GLO1|LTC4S|GSR|GSS|GSTM1|GSTK1|GSTA3|GSTM3|GSTA4|GSTM4|GSTA5|GSTP1|GSTO1|GPX1|GPX2|GSTT1|GSTZ1|GPX5|GPX3|AKR1B1|MMP9|CYP3A4|
DB00144,Phosphatidyl serine,Diacylglycerol kinase gamma|Diacylglycerol kinase delta|Phosphatidylserine synthase 2|Sphingomyelin phosphodiesterase 4|Sphingomyelin phosphodiesterase 3|Probable phospholipid-transporting ATPase IA|Protein kinase C alpha type|Phosphatidylserine synthase 1|Phosphatidylserine decarboxylase proenzyme|Scavenger receptor class B member 1|,P49619|Q16760|Q9BVG9|Q9NXE4|Q9NY59|Q9Y2Q0|P17252|P48651|Q9UG56|Q8WTV0|,DGKG|DGKD|PTDSS2|SMPD4|SMPD3|ATP8A1|PRKCA|PTDSS1|PISD|SCARB1|
DB00145,Glycine,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial|5-aminolevulinate synthase, nonspecific, mitochondrial|5-aminolevulinate synthase, erythroid-specific, mitochondrial|Glycine--tRNA ligase|Glutamate receptor ionotropic, NMDA 2A|Bile acid-CoA:amino acid N-acyltransferase|N-arachidonyl glycine receptor|Glutathione synthetase|Glutamate receptor ionotropic, NMDA 2C|Serine hydroxymethyltransferase|Glycine N-acyltransferase|Serine hydroxymethyltransferase, mitochondrial|Glycine N-acyltransferase-like protein 2|Glycine N-acyltransferase-like protein 1|Alanine--glyoxylate aminotransferase 2, mitochondrial|Peroxisomal sarcosine oxidase|Glutamate receptor ionotropic, NMDA 3B|Glycine receptor subunit alpha-1|Serine--pyruvate aminotransferase|Glycine receptor subunit beta|Serine hydroxymethyltransferase, cytosolic|Glycine receptor subunit alpha-3|Glycine receptor subunit alpha-2|Glycine N-methyltransferase|Glycine amidinotransferase, mitochondrial|",O75600|P13196|P22557|P41250|Q12879|Q14032|Q14330|P48637|Q14957|Q6IB77|P34897|Q8WU03|Q969I3|Q9BYV1|Q9P0Z9|O60391|P23415|P21549|P48167|P34896|O75311|P23416|Q14749|P50440|,GCAT|ALAS1|ALAS2|GARS|GRIN2A|BAAT|GPR18|GSS|GRIN2C|GLYAT|SHMT2|GLYATL2|GLYATL1|AGXT2|PIPOX|GRIN3B|GLRA1|AGXT|GLRB|SHMT1|GLRA3|GLRA2|GNMT|GATM|
DB00146,Calcifediol,Vitamin D3 receptor|,P11473|,VDR|
DB00147,Pyridoxal,Pyridoxal kinase|,O00764|,PDXK|
DB00148,Creatine,"Creatine kinase M-type|Creatine kinase U-type, mitochondrial|Creatine kinase B-type|Creatine kinase S-type, mitochondrial|Sodium- and chloride-dependent creatine transporter 1|Guanidinoacetate N-methyltransferase|",P06732|P12532|P12277|P17540|P48029|Q14353|,CKM|CKMT1A|CKB|CKMT2|SLC6A8|GAMT|
DB00149,Leucine,"Probable leucine--tRNA ligase, mitochondrial|Branched-chain-amino-acid aminotransferase, mitochondrial|Branched-chain-amino-acid aminotransferase, cytosolic|Leucine carboxyl methyltransferase 2|Leucine carboxyl methyltransferase 1|Leucine--tRNA ligase, cytoplasmic|",Q15031|O15382|P54687|O60294|Q9UIC8|Q9P2J5|,LARS2|BCAT2|BCAT1|LCMT2|LCMT1|LARS|
DB00150,Tryptophan,"Tryptophan--tRNA ligase, mitochondrial|Tryptophan--tRNA ligase, cytoplasmic|",Q9UGM6|P23381|,WARS2|WARS|
DB00151,Cysteine,"Glutamate--cysteine ligase regulatory subunit|Glutamate--cysteine ligase catalytic subunit|Aspartate aminotransferase, cytoplasmic|Aspartate aminotransferase, mitochondrial|Cystathionine gamma-lyase|Cystathionine beta-synthase|Cysteine--tRNA ligase, cytoplasmic|Methylated-DNA--protein-cysteine methyltransferase|Glutathione synthetase|Probable cysteine--tRNA ligase, mitochondrial|Cysteine sulfinic acid decarboxylase|Cysteine desulfurase, mitochondrial|Cysteine dioxygenase type 1|",P48507|P48506|P17174|P00505|P32929|P35520|P49589|P16455|P48637|Q9HA77|Q9Y600|Q9Y697|Q16878|,GCLM|GCLC|GOT1|GOT2|CTH|CBS|CARS|MGMT|GSS|CARS2|CSAD|NFS1|CDO1|
DB00152,Thiamine,Thiamin pyrophosphokinase 1|,Q9H3S4|,TPK1|
DB00153,Ergocalciferol,Vitamin D3 receptor|Voltage-dependent calcium channel|,P11473|Q06432|Q9Y698|O60359|Q9UBN1|Q9UF02|Q9BXT2|P62955|Q8WXS5|P54289|Q9NY47|Q8IZS8|Q7Z3S7|Q13936|Q01668|O60840|Q13698|Q02641|Q08289|P54284|O00305|Q00975|O00555|Q15878|O43497|O95180|Q9P0X4|,VDR|CACNG1|CACNG2|CACNG3|CACNG4|CACNG5|CACNG6|CACNG7|CACNG8|CACNA2D1|CACNA2D2|CACNA2D3|CACNA2D4|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CACNA1B|CACNA1A|CACNA1E|CACNA1G|CACNA1H|CACNA1I|
DB00154,Dihomo-gamma-linolenic acid,Prostaglandin G/H synthase 1|Prostaglandin G/H synthase 2|,P23219|P35354|,PTGS1|PTGS2|
